need_name,internal_background,example_id,natural_action_example,natural_context,question_type_fit,nearby_need_possible,writing_caution
安定欲求,安全・損失回避・不安低減,安定-01,予定を立てる前に、体力や予算に無理がないか確認する,休日・外出,行動選択,秩序欲求,リスク確認だけに寄せすぎると秩序欲求と混ざりやすい
安定欲求,安全・損失回避・不安低減,安定-02,初めて行く場所でも、帰り方や休める場所を先に見ておく,外出・旅行,行動選択,秩序欲求,過度な不安表現にしない
安定欲求,安全・損失回避・不安低減,安定-03,忙しい時期ほど、予定を詰め込みすぎないように余白を残す,日程調整,行動選択,自律欲求,単なる怠けに見えない書き方にする
安定欲求,安全・損失回避・不安低減,安定-04,買い物では、失敗しにくい定番や口コミの多いものを選びやすい,買い物,行動選択,秩序欲求,保守的すぎる印象を避ける
安定欲求,安全・損失回避・不安低減,安定-05,何かを始める前に、途中で困ったときの逃げ道を考えておく,挑戦・計画,理由選択,秩序欲求,ネガティブに強くしすぎない
安定欲求,安全・損失回避・不安低減,安定-06,体調が微妙な日は、楽しそうな予定でも無理せず軽めにする,体調・休日,行動選択,自律欲求,健康不安の診断に見せない
安定欲求,安全・損失回避・不安低減,安定-07,慣れない環境では、まず安心できる場所や人を見つけようとする,新環境,違和感選択,関係欲求,関係欲求との区別に注意
安定欲求,安全・損失回避・不安低減,安定-08,締切が近いときは、まず最低限終わる形を確保してから細部に入る,課題・仕事,行動選択,秩序欲求,成長欲求より損失回避に寄せる
安定欲求,安全・損失回避・不安低減,安定-09,大きな変更があると、良し悪しの前にまず影響範囲を知りたくなる,環境変化,違和感選択,探究欲求,探究欲求ではなく安心材料を得る文脈にする
安定欲求,安全・損失回避・不安低減,安定-10,誘いを受けたとき、楽しさよりも翌日の負担を先に考えることがある,人付き合い,理由選択,自律欲求,内向性の話に見えすぎないようにする
安定欲求,安全・損失回避・不安低減,安定-11,初めての作業では、いきなり本番に入らず小さく試してから進める,作業・挑戦,行動選択,成長欲求,成長欲求との重なりあり
安定欲求,安全・損失回避・不安低減,安定-12,不確かな話を聞くと、すぐ動くよりまず確かな情報を待ちたくなる,情報判断,違和感選択,秩序欲求,探究欲求との区別に注意
安定欲求,安全・損失回避・不安低減,安定-13,部屋や机が荒れてくると、気持ちまで落ち着かなくなる,日常環境,違和感選択,秩序欲求,秩序欲求に寄りやすい
安定欲求,安全・損失回避・不安低減,安定-14,人に頼るときも、相手に迷惑がかかりすぎない範囲を考える,対人,理由選択,関係欲求,関係欲求との区別は『安心確保』
安定欲求,安全・損失回避・不安低減,安定-15,新しいことに参加するとき、事前に雰囲気や難易度を知っておきたい,参加・イベント,行動選択,探究欲求,探究ではなく不安低減として扱う
自律欲求,自己決定・独立,自律-01,人から勧められても、最後は自分で納得してから決めたい,選択,理由選択,意味欲求,反抗的に見せない
自律欲求,自己決定・独立,自律-02,予定は細かく決められすぎるより、自分で調整できる余地がほしい,日程調整,違和感選択,秩序欲求,秩序欲求との対比で使いやすい
自律欲求,自己決定・独立,自律-03,やることが同じでも、自分なりの進め方を選べると動きやすい,課題・仕事,理由選択,成長欲求,創造欲求に寄りすぎない
自律欲求,自己決定・独立,自律-04,集団で決める場面でも、自分の考えを一度は言葉にしておきたい,グループ,行動選択,影響欲求,影響欲求との区別に注意
自律欲求,自己決定・独立,自律-05,流行っているからという理由だけでは、あまり乗る気にならない,流行・消費,違和感選択,意味欲求,単なるひねくれに見せない
自律欲求,自己決定・独立,自律-06,人に合わせ続けると、どこかで一人の時間を取り戻したくなる,対人・休日,違和感選択,関係欲求,関係欲求との対比に使える
自律欲求,自己決定・独立,自律-07,指示を受けるときは、理由や目的がわかると納得して動きやすい,学業・仕事,理由選択,探究欲求,探究欲求とも重なる
自律欲求,自己決定・独立,自律-08,選択肢が複数あるなら、自分で選んだ感覚が残る形にしたい,意思決定,理由選択,意味欲求,抽象的になりやすいので具体場面で使う
自律欲求,自己決定・独立,自律-09,周りが盛り上がっていても、自分が違うと思えば少し距離を置く,集団・流行,行動選択,安定欲求,孤立志向にしすぎない
自律欲求,自己決定・独立,自律-10,頼まれごとでも、引き受ける範囲を自分で決められると続けやすい,役割・依頼,理由選択,安定欲求,責任回避に見えないようにする
自律欲求,自己決定・独立,自律-11,勉強や練習は、人に管理されるより自分で組み立てたい,学習・練習,行動選択,成長欲求,秩序欲求と区別しにくい
自律欲求,自己決定・独立,自律-12,意見が割れたとき、多数派に合わせる前に自分の納得感を確認する,話し合い,行動選択,影響欲求,影響欲求ではなく自己決定に寄せる
自律欲求,自己決定・独立,自律-13,自由時間には、誰かの期待より自分の気分を優先したくなる,休日,理由選択,刺激欲求,わがままに見えすぎない表現にする
自律欲求,自己決定・独立,自律-14,ルールがあっても、意味が通らないとそのまま従うのに引っかかる,規則・組織,違和感選択,意味欲求,秩序欲求との対比向き
自律欲求,自己決定・独立,自律-15,成果の形を指定されるより、自分なりの形で出せる方が力が出る,発表・制作,理由選択,創造欲求,創造欲求とも重なる
成長欲求,有能感・達成,成長-01,少し難しいことでも、できるようになる過程が見えると続けやすい,学習・練習,理由選択,評価欲求,評価欲求との区別に注意
成長欲求,有能感・達成,成長-02,前よりうまくできた部分があると、それだけで次もやる気が出る,練習・趣味,理由選択,評価欲求,承認ではなく自己上達に寄せる
成長欲求,有能感・達成,成長-03,新しい分野では、まず基礎から積み上げて上達を感じたい,学習,行動選択,秩序欲求,秩序欲求と重なる
成長欲求,有能感・達成,成長-04,失敗しても、原因がわかって改善できそうならもう一度試したくなる,挑戦,行動選択,探究欲求,探究欲求とも重なる
成長欲求,有能感・達成,成長-05,練習や課題では、自分の弱点が見えるとむしろ燃えることがある,学業・部活,違和感選択,評価欲求,きつすぎる表現は避ける
成長欲求,有能感・達成,成長-06,同じ作業でも、昨日より速く正確にできると嬉しい,日常作業,理由選択,秩序欲求,秩序欲求寄りになりすぎない
成長欲求,有能感・達成,成長-07,目標があると、面倒な基礎練習にも意味を見出しやすい,練習・勉強,理由選択,意味欲求,意味欲求と重なる
成長欲求,有能感・達成,成長-08,難しそうな役割でも、経験値になりそうなら引き受けることがある,役割・挑戦,行動選択,評価欲求,評価欲求との混同に注意
成長欲求,有能感・達成,成長-09,成果がすぐ出なくても、積み上がっている感覚があると続けられる,長期目標,理由選択,意味欲求,意味欲求にも近い
成長欲求,有能感・達成,成長-10,人と比べるより、過去の自分から伸びているかが気になる,評価・学習,理由選択,評価欲求,評価欲求との対比に強い
成長欲求,有能感・達成,成長-11,苦手なことほど、攻略法を見つけると少し楽しくなる,苦手克服,行動選択,探究欲求,探究欲求とも重なる
成長欲求,有能感・達成,成長-12,最初は下手でも、練習すれば形になるものに惹かれやすい,趣味・技能,理由選択,創造欲求,創造欲求との重なりあり
成長欲求,有能感・達成,成長-13,課題を終えたあと、次はもっとよくできそうな点を考える,課題後,行動選択,秩序欲求,反省過多に見せない
成長欲求,有能感・達成,成長-14,できない理由より、どうすればできるかを考えたくなる,問題解決,行動選択,影響欲求,影響欲求と重なる場合あり
成長欲求,有能感・達成,成長-15,成長が感じられない作業が続くと、だんだん退屈に感じる,違和感,違和感選択,刺激欲求,刺激欲求と混ざりやすい
探究欲求,好奇心・認知欲求,探究-01,気になった言葉を見つけると、意味や由来をつい調べてしまう,日常情報,行動選択,意味欲求,学術寄りにしすぎない
探究欲求,好奇心・認知欲求,探究-02,ニュースや噂を聞くと、背景や仕組みまで知りたくなる,情報判断,行動選択,安定欲求,安定欲求との区別は好奇心
探究欲求,好奇心・認知欲求,探究-03,初めての場所では、なぜここにこういう店や道があるのか気になる,外出,行動選択,意味欲求,観光っぽく自然に使える
探究欲求,好奇心・認知欲求,探究-04,人の考え方を聞くと、どうしてそう思うのかを知りたくなる,対話,理由選択,関係欲求,関係欲求との区別に注意
探究欲求,好奇心・認知欲求,探究-05,説明を聞いて納得できない部分があると、あとで調べ直したくなる,授業・仕事,違和感選択,自律欲求,自律欲求とも重なる
探究欲求,好奇心・認知欲求,探究-06,流行っているものを見ると、何が人を惹きつけているのか考える,流行・文化,行動選択,意味欲求,評価欲求ではなく観察として扱う
探究欲求,好奇心・認知欲求,探究-07,作業手順を覚えるだけでなく、なぜその順番なのか知りたい,作業・学習,理由選択,秩序欲求,秩序欲求と重なる
探究欲求,好奇心・認知欲求,探究-08,一つ調べると、関連する別の疑問まで広がっていくことがある,調べ物,行動選択,刺激欲求,刺激欲求にも寄る
探究欲求,好奇心・認知欲求,探究-09,失敗したとき、落ち込む前に原因を分解して見たくなる,失敗・実験,行動選択,成長欲求,成長欲求と重なる
探究欲求,好奇心・認知欲求,探究-10,映画や作品を見たあと、設定や制作背景を読みたくなる,娯楽,行動選択,意味欲求,意味欲求と重なる
探究欲求,好奇心・認知欲求,探究-11,知らない分野の入門記事や解説動画を眺めるのが好き,自由時間,行動選択,刺激欲求,成長目的と混ぜない
探究欲求,好奇心・認知欲求,探究-12,意見が対立している話題では、双方の根拠を見比べたくなる,議論・情報,行動選択,秩序欲求,評価判断より理解に寄せる
探究欲求,好奇心・認知欲求,探究-13,身近な現象でも、名前や理屈がわかると少し嬉しい,日常,理由選択,成長欲求,化学・物理にも転用しやすい
探究欲求,好奇心・認知欲求,探究-14,人からおすすめされたものは、楽しむだけでなく背景も知りたくなる,趣味・文化,行動選択,意味欲求,意味欲求に寄りすぎない
探究欲求,好奇心・認知欲求,探究-15,答えだけ示されると、途中の考え方が見えなくて落ち着かない,学習・説明,違和感選択,秩序欲求,秩序欲求とも近い
関係欲求,所属・親和,関係-01,楽しいことがあると、誰かに共有したくなる,日常・趣味,行動選択,評価欲求,評価欲求との区別に注意
関係欲求,所属・親和,関係-02,集まりでは、話に入れていない人がいないか気になりやすい,グループ,行動選択,安定欲求,過度な配慮キャラに固定しない
